timestamp,cpu_usage_percent,memory_usage_percent,state
2024-06-18 14:11:38,0.0,67.9,2
2024-06-18 14:11:39,94.1,70.4,3
2024-06-18 14:11:40,94.1,74.7,3
2024-06-18 14:11:41,98.3,85.8,3
2024-06-18 14:11:42,98.0,86.2,3
2024-06-18 14:11:43,65.1,86.7,3
2024-06-18 14:11:45,14.5,86.7,3
2024-06-18 14:11:46,3.0,86.8,3
2024-06-18 14:11:48,53.3,81.2,3
2024-06-18 14:11:49,85.1,81.6,3
2024-06-18 14:11:50,88.4,82.0,3
2024-06-18 14:11:51,82.1,84.9,3
2024-06-18 14:11:52,89.1,82.8,3
2024-06-18 14:11:53,88.6,82.3,3
2024-06-18 14:11:54,77.2,82.6,3
2024-06-18 14:11:55,90.7,82.8,3
2024-06-18 14:11:56,94.6,83.0,3
2024-06-18 14:11:57,98.0,83.4,3
2024-06-18 14:11:58,97.1,83.6,3
2024-06-18 14:11:59,93.0,88.5,3
2024-06-18 14:12:00,88.2,83.0,3
2024-06-18 14:12:01,77.5,83.2,3
2024-06-18 14:12:02,86.9,83.2,3
2024-06-18 14:12:03,85.3,83.4,3
2024-06-18 14:12:04,93.7,83.7,3
2024-06-18 14:12:05,86.0,84.1,3
2024-06-18 14:12:06,90.4,83.5,3
2024-06-18 14:12:07,91.2,89.0,3
2024-06-18 14:12:08,77.9,79.5,3
2024-06-18 14:12:09,86.7,79.9,3
2024-06-18 14:12:10,96.3,80.2,3
2024-06-18 14:12:11,93.2,80.6,3
2024-06-18 14:12:12,98.5,80.8,3
2024-06-18 14:12:13,93.5,81.1,3
2024-06-18 14:12:14,92.2,81.7,3
2024-06-18 14:12:15,81.6,88.4,3
2024-06-18 14:12:16,19.6,88.8,3
2024-06-18 14:12:17,47.9,88.7,3
2024-06-18 14:12:18,56.6,77.8,3
2024-06-18 14:12:19,85.6,77.8,3
2024-06-18 14:12:20,83.8,78.1,3
2024-06-18 14:12:21,88.2,78.6,3
2024-06-18 14:12:22,90.0,78.8,3
2024-06-18 14:12:23,84.2,78.9,3
2024-06-18 14:12:24,92.6,77.9,3
2024-06-18 14:12:25,92.8,81.4,3
2024-06-18 14:12:26,99.5,76.9,3
2024-06-18 14:12:27,85.8,77.3,3
2024-06-18 14:12:28,53.1,77.3,3
2024-06-18 14:12:29,51.2,77.4,3
2024-06-18 14:12:30,55.6,77.7,3
2024-06-18 14:12:31,72.7,78.8,3
2024-06-18 14:12:32,77.6,80.8,3
2024-06-18 14:12:33,68.7,79.1,3
2024-06-18 14:12:34,65.2,79.7,3
2024-06-18 14:12:35,55.5,79.8,3
2024-06-18 14:12:36,73.5,79.6,3
2024-06-18 14:12:38,55.9,79.6,3
2024-06-18 14:12:39,54.2,79.5,3
2024-06-18 14:12:40,52.2,83.7,3
2024-06-18 14:12:41,68.5,80.0,3
2024-06-18 14:12:42,59.1,80.2,3
2024-06-18 14:12:43,68.4,80.2,3
2024-06-18 14:12:44,56.2,80.2,3
2024-06-18 14:12:45,58.7,80.3,3
2024-06-18 14:12:46,65.0,80.1,3
2024-06-18 14:12:47,77.2,85.0,3
2024-06-18 14:12:48,89.9,79.1,3
2024-06-18 14:12:49,95.9,79.0,3
2024-06-18 14:12:50,96.3,79.2,3
2024-06-18 14:12:51,98.2,79.3,3
2024-06-18 14:12:53,92.4,79.5,3
2024-06-18 14:12:54,93.4,79.5,3
2024-06-18 14:12:55,98.5,79.2,3
2024-06-18 14:12:56,97.0,84.5,3
2024-06-18 14:12:57,98.0,79.5,3
2024-06-18 14:12:58,96.5,79.7,3
2024-06-18 14:12:59,89.7,79.7,3
2024-06-18 14:13:00,94.8,79.8,3
2024-06-18 14:13:01,91.5,79.9,3
2024-06-18 14:13:02,94.6,79.9,3
